Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bevölkerung: Schweizer,1770.00,1742.00,1751.00,1710.00,1693.00,1650.00,1623.00,1566.00,1581.00,1585.00,1561.00,1576.00,1554.00,1555.00,1571.00,1562.00,1556.00,
Bevölkerung: Ausländer,577.00,592.00,610.00,607.00,623.00,614.00,643.00,652.00,661.00,719.00,726.00,696.00,734.00,825.00,874.00,873.00,940.00,
Fläche: Zonen S-6,,,,,,,,,,,,,,,,,13.15,
Fläche: Zonen S-7,,,,,,,,,,,,,,,,,13.15,
Fläche: Gesamt,,,,,,,,,,,,,,,,,24.33,
Wanderungen Saldo: Schweizer,,,,,,,,,,,,24.00,3.00,6.00,-14.00,11.00,,
Umzüge Saldo: Schweizer,,,,,,,,,,,,2.00,1.00,5.00,26.00,-13.00,,
Wanderungen Saldo: Ausländer,,,,,,,,,,,,-5.00,49.00,60.00,44.00,14.00,,
Umzüge Saldo: Ausländer,,,,,,,,,,,,-16.00,3.00,12.00,19.00,-13.00,,
Alter: 0-4,,,,,,,,,,,,,,,,,104.00,
Alter: 5-9,,,,,,,,,,,,,,,,,48.00,
Alter: 10-14,,,,,,,,,,,,,,,,,55.00,
Alter: 15-19,,,,,,,,,,,,,,,,,52.00,
Alter: 20-24,,,,,,,,,,,,,,,,,112.00,
Alter: 25-29,,,,,,,,,,,,,,,,,323.00,
Alter: 30-34,,,,,,,,,,,,,,,,,308.00,
Alter: 35-39,,,,,,,,,,,,,,,,,213.00,
Alter: 40-44,,,,,,,,,,,,,,,,,160.00,
Alter: 45-49,,,,,,,,,,,,,,,,,162.00,
Alter: 50-54,,,,,,,,,,,,,,,,,184.00,
Alter: 55-59,,,,,,,,,,,,,,,,,153.00,
Alter: 60-64,,,,,,,,,,,,,,,,,147.00,
Alter: 65-69,,,,,,,,,,,,,,,,,118.00,
Alter: 70-74,,,,,,,,,,,,,,,,,105.00,
Alter: 75-79,,,,,,,,,,,,,,,,,103.00,
Alter: 80-84,,,,,,,,,,,,,,,,,63.00,
Alter: 85-89,,,,,,,,,,,,,,,,,51.00,
Alter: 90-94,,,,,,,,,,,,,,,,,28.00,
Alter: 95-99,,,,,,,,,,,,,,,,,7.00,
Alter: 100-104,,,,,,,,,,,,,,,,,0.00,
Alter: 105-109,,,,,,,,,,,,,,,,,0.00,
Alter: 110-114,,,,,,,,,,,,,,,,,0.00,
Staatsangehörigkeit: Deutschland,83.00,87.00,103.00,106.00,118.00,118.00,139.00,159.00,186.00,201.00,208.00,188.00,177.00,199.00,195.00,189.00,206.00,
