Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bevölkerung: Schweizer,7993.00,7806.00,7755.00,7623.00,7670.00,7605.00,7462.00,7355.00,7264.00,7190.00,7198.00,7160.00,7138.00,7165.00,7007.00,7028.00,6990.00,
Bevölkerung: Ausländer,2392.00,2412.00,2539.00,2700.00,2831.00,2894.00,2907.00,3008.00,3116.00,3244.00,3188.00,3362.00,3425.00,3586.00,3615.00,3614.00,3744.00,
Fläche: Zonen S-6,,,,,,,,,,,,,,,,,59.13,
Fläche: Zonen S-7,,,,,,,,,,,,,,,,,59.13,
Fläche: Gesamt,,,,,,,,,,,,,,,,,91.06,
Wanderungen Saldo: Schweizer,,,,,,,,,,,,55.00,3.00,23.00,-45.00,-23.00,,
Umzüge Saldo: Schweizer,,,,,,,,,,,,12.00,25.00,109.00,-57.00,85.00,,
Wanderungen Saldo: Ausländer,,,,,,,,,,,,317.00,195.00,188.00,145.00,195.00,,
Umzüge Saldo: Ausländer,,,,,,,,,,,,-131.00,-90.00,-20.00,-98.00,-164.00,,
Alter: 0-4,,,,,,,,,,,,,,,,,495.00,
Alter: 5-9,,,,,,,,,,,,,,,,,333.00,
Alter: 10-14,,,,,,,,,,,,,,,,,318.00,
Alter: 15-19,,,,,,,,,,,,,,,,,346.00,
Alter: 20-24,,,,,,,,,,,,,,,,,682.00,
Alter: 25-29,,,,,,,,,,,,,,,,,1021.00,
Alter: 30-34,,,,,,,,,,,,,,,,,1048.00,
Alter: 35-39,,,,,,,,,,,,,,,,,843.00,
Alter: 40-44,,,,,,,,,,,,,,,,,690.00,
Alter: 45-49,,,,,,,,,,,,,,,,,640.00,
Alter: 50-54,,,,,,,,,,,,,,,,,699.00,
Alter: 55-59,,,,,,,,,,,,,,,,,668.00,
Alter: 60-64,,,,,,,,,,,,,,,,,548.00,
Alter: 65-69,,,,,,,,,,,,,,,,,543.00,
Alter: 70-74,,,,,,,,,,,,,,,,,524.00,
Alter: 75-79,,,,,,,,,,,,,,,,,457.00,
