Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bevölkerung: Schweizer,11749.00,11498.00,11413.00,11279.00,11199.00,11077.00,10900.00,10891.00,10894.00,10815.00,10645.00,10691.00,10679.00,10644.00,10652.00,10661.00,10592.00,
Bevölkerung: Ausländer,1751.00,1846.00,1934.00,1937.00,2089.00,2146.00,2251.00,2339.00,2364.00,2485.00,2510.00,2608.00,2667.00,2764.00,2837.00,2900.00,2949.00,
Fläche: Zonen S-6,,,,,,,,,,,,,,,,,84.34,
Fläche: Zonen S-7,,,,,,,,,,,,,,,,,84.34,
Fläche: Gesamt,,,,,,,,,,,,,,,,,152.14,
Wanderungen Saldo: Schweizer,,,,,,,,,,,,-27.00,-16.00,-95.00,-89.00,-38.00,,
Umzüge Saldo: Schweizer,,,,,,,,,,,,43.00,19.00,19.00,45.00,-24.00,,
Wanderungen Saldo: Ausländer,,,,,,,,,,,,56.00,52.00,64.00,51.00,7.00,,
Umzüge Saldo: Ausländer,,,,,,,,,,,,73.00,48.00,72.00,49.00,98.00,,
Alter: 0-4,,,,,,,,,,,,,,,,,642.00,
Alter: 5-9,,,,,,,,,,,,,,,,,621.00,
Alter: 10-14,,,,,,,,,,,,,,,,,569.00,
Alter: 15-19,,,,,,,,,,,,,,,,,583.00,
Alter: 20-24,,,,,,,,,,,,,,,,,679.00,
Alter: 25-29,,,,,,,,,,,,,,,,,835.00,
Alter: 30-34,,,,,,,,,,,,,,,,,917.00,
Alter: 35-39,,,,,,,,,,,,,,,,,891.00,
Alter: 40-44,,,,,,,,,,,,,,,,,854.00,
Alter: 45-49,,,,,,,,,,,,,,,,,919.00,
Alter: 50-54,,,,,,,,,,,,,,,,,1120.00,
Alter: 55-59,,,,,,,,,,,,,,,,,1026.00,
Alter: 60-64,,,,,,,,,,,,,,,,,862.00,
Alter: 65-69,,,,,,,,,,,,,,,,,767.00,
Alter: 70-74,,,,,,,,,,,,,,,,,663.00,
Alter: 75-79,,,,,,,,,,,,,,,,,542.00,
Alter: 80-84,,,,,,,,,,,,,,,,,468.00,
Alter: 85-89,,,,,,,,,,,,,,,,,374.00,
Alter: 90-94,,,,,,,,,,,,,,,,,160.00,
Alter: 95-99,,,,,,,,,,,,,,,,,46.00,
Alter: 100-104,,,,,,,,,,,,,,,,,2.00,
Alter: 105-109,,,,,,,,,,,,,,,,,0.00,
Alter: 110-114,,,,,,,,,,,,,,,,,1.00,
