,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bevölkerung: Schweizer,6636.00,6479.00,6308.00,6245.00,6173.00,6122.00,6155.00,6108.00,6075.00,6087.00,6063.00,6073.00,6016.00,6039.00,6033.00,5977.00,6041.00,
Bevölkerung: Ausländer,2021.00,2103.00,2049.00,2121.00,2198.00,2238.00,2312.00,2358.00,2411.00,2382.00,2463.00,2550.00,2672.00,2767.00,2830.00,2871.00,2895.00,
Fläche: Zonen S-6,,,,,,,,,,,,,,,,,34.28,
Fläche: Zonen S-7,,,,,,,,,,,,,,,,,36.56,
Fläche: Gesamt,,,,,,,,,,,,,,,,,67.63,
Wanderungen Saldo: Schweizer,,,,,,,,,,,,-44.00,-15.00,-50.00,-36.00,-73.00,,
Umzüge Saldo: Schweizer,,,,,,,,,,,,31.00,11.00,37.00,-8.00,5.00,,
Wanderungen Saldo: Ausländer,,,,,,,,,,,,48.00,46.00,112.00,64.00,14.00,,
Umzüge Saldo: Ausländer,,,,,,,,,,,,46.00,55.00,3.00,26.00,34.00,,
Alter: 0-4,,,,,,,,,,,,,,,,,387.00,
Alter: 5-9,,,,,,,,,,,,,,,,,326.00,
Alter: 10-14,,,,,,,,,,,,,,,,,248.00,
Alter: 15-19,,,,,,,,,,,,,,,,,305.00,
Alter: 20-24,,,,,,,,,,,,,,,,,510.00,
Alter: 25-29,,,,,,,,,,,,,,,,,768.00,
Alter: 30-34,,,,,,,,,,,,,,,,,868.00,
Alter: 35-39,,,,,,,,,,,,,,,,,724.00,
Alter: 40-44,,,,,,,,,,,,,,,,,608.00,
Alter: 45-49,,,,,,,,,,,,,,,,,546.00,
Alter: 50-54,,,,,,,,,,,,,,,,,630.00,
Alter: 55-59,,,,,,,,,,,,,,,,,565.00,
Alter: 60-64,,,,,,,,,,,,,,,,,480.00,
Alter: 65-69,,,,,,,,,,,,,,,,,425.00,
Alter: 70-74,,,,,,,,,,,,,,,,,432.00,
Alter: 75-79,,,,,,,,,,,,,,,,,399.00,
Alter: 80-84,,,,,,,,,,,,,,,,,333.00,
Alter: 85-89,,,,,,,,,,,,,,,,,250.00,
Alter: 90-94,,,,,,,,,,,,,,,,,105.00,
Alter: 95-99,,,,,,,,,,,,,,,,,20.00,
Alter: 100-104,,,,,,,,,,,,,,,,,7.00,
Alter: 105-109,,,,,,,,,,,,,,,,,0.00,
Alter: 110-114,,,,,,,,,,,,,,,,,0.00,
Staatsangehörigkeit: Deutschland,214.00,231.00,252.00,271.00,319.00,347.00,382.00,462.00,520.00,540.00,565.00,567.00,583.00,601.00,591.00,583.00,603.00,
Staatsangehörigkeit: Italien,427.00,421.00,391.00,371.00,377.00,361.00,342.00,329.00,324.00,321.00,313.00,324.00,343.00,343.00,360.00,355.00,368.00,
Staatsangehörigkeit: Türkei,356.00,376.00,358.00,352.00,348.00,328.00,339.00,313.00,287.00,278.00,287.00,283.00,282.00,282.00,284.00,276.00,264.00,
"Staatsangehörigkeit: Serbien, Montenegro, Kosovo",164.00,169.00,166.00,166.00,190.00,188.00,188.00,176.00,172.00,170.00,180.00,190.00,190.00,181.00,193.00,194.00,188.00,
Staatsangehörigkeit: Spanien,183.00,180.00,184.00,191.00,161.00,160.00,143.00,132.00,132.00,116.00,113.00,121.00,144.00,153.00,152.00,169.00,164.00,
Staatsangehörigkeit: Portugal,33.00,31.00,43.00,52.00,66.00,78.00,101.00,113.00,113.00,112.00,114.00,131.00,150.00,162.00,164.00,159.00,168.00,
Staatsangehörigkeit: Mazedonien,84.00,86.00,92.00,101.00,102.00,119.00,114.00,114.00,115.00,112.00,121.00,117.00,124.00,132.00,131.00,143.00,135.00,
Staatsangehörigkeit: Vereinigtes Königreich,42.00,44.00,50.00,56.00,48.00,47.00,44.00,42.00,36.00,40.00,33.00,37.00,40.00,61.00,65.00,72.00,66.00,
Staatsangehörigkeit: Frankreich,31.00,35.00,36.00,39.00,39.00,52.00,46.00,52.00,48.00,52.00,58.00,53.00,62.00,65.00,66.00,73.00,72.00,
Staatsangehörigkeit: Indien,18.00,15.00,17.00,20.00,30.00,24.00,25.00,31.00,27.00,18.00,16.00,20.00,27.00,23.00,24.00,30.00,33.00,
Staatsangehörigkeit: Vereinigte Staaten von Amerika,28.00,25.00,24.00,25.00,24.00,19.00,22.00,28.00,26.00,31.00,36.00,32.00,34.00,33.00,37.00,34.00,35.00,
Staatsangehörigkeit: Österreich,31.00,33.00,33.00,35.00,39.00,35.00,40.00,43.00,48.00,50.00,48.00,50.00,53.00,58.00,55.00,44.00,47.00,
Staatsangehörigkeit: Kroatien,66.00,61.00,67.00,72.00,69.00,71.00,73.00,64.00,60.00,48.00,50.00,50.00,48.00,52.00,47.00,53.00,54.00,
Staatsangehörigkeit: Sri Lanka,38.00,40.00,27.00,39.00,44.00,41.00,39.00,31.00,28.00,28.00,25.00,23.00,25.00,30.00,27.00,27.00,30.00,
Staatsangehörigkeit: Polen,5.00,4.00,4.00,5.00,5.00,8.00,8.00,4.00,5.00,2.00,2.00,5.00,4.00,6.00,9.00,10.00,9.00,
Staatsangehörigkeit: Übriges Ausland,297.00,351.00,306.00,332.00,332.00,371.00,393.00,429.00,462.00,465.00,490.00,544.00,563.00,585.00,625.00,649.00,659.00,
Religion: Keine Zugehörigkeit,,,,,,,,,,,,,,4091.00,,,,
