Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bevölkerung: Schweizer,7889.00,7804.00,7684.00,7570.00,7477.00,7306.00,7240.00,7193.00,7160.00,7123.00,7104.00,7073.00,7013.00,7001.00,6977.00,6970.00,6984.00,
Bevölkerung: Ausländer,1098.00,1150.00,1213.00,1281.00,1344.00,1441.00,1459.00,1594.00,1643.00,1759.00,1807.00,1911.00,1992.00,2064.00,2082.00,2095.00,2224.00,
Fläche: Zonen S-6,,,,,,,,,,,,,,,,,117.59,
Fläche: Zonen S-7,,,,,,,,,,,,,,,,,117.59,
Fläche: Gesamt,,,,,,,,,,,,,,,,,259.19,
Wanderungen Saldo: Schweizer,,,,,,,,,,,,-41.00,-41.00,-8.00,-20.00,-42.00,,
Umzüge Saldo: Schweizer,,,,,,,,,,,,26.00,18.00,4.00,0.00,18.00,,
Wanderungen Saldo: Ausländer,,,,,,,,,,,,40.00,10.00,35.00,8.00,7.00,,
Umzüge Saldo: Ausländer,,,,,,,,,,,,87.00,92.00,65.00,28.00,34.00,,
Alter: 0-4,,,,,,,,,,,,,,,,,475.00,
Alter: 5-9,,,,,,,,,,,,,,,,,538.00,
Alter: 10-14,,,,,,,,,,,,,,,,,469.00,
Alter: 15-19,,,,,,,,,,,,,,,,,446.00,
Alter: 20-24,,,,,,,,,,,,,,,,,429.00,
Alter: 25-29,,,,,,,,,,,,,,,,,368.00,
Alter: 30-34,,,,,,,,,,,,,,,,,419.00,
Alter: 35-39,,,,,,,,,,,,,,,,,577.00,
Alter: 40-44,,,,,,,,,,,,,,,,,641.00,
Alter: 45-49,,,,,,,,,,,,,,,,,725.00,
Alter: 50-54,,,,,,,,,,,,,,,,,735.00,
Alter: 55-59,,,,,,,,,,,,,,,,,632.00,
Alter: 60-64,,,,,,,,,,,,,,,,,567.00,
Alter: 65-69,,,,,,,,,,,,,,,,,504.00,
Alter: 70-74,,,,,,,,,,,,,,,,,480.00,
Alter: 75-79,,,,,,,,,,,,,,,,,409.00,
Alter: 80-84,,,,,,,,,,,,,,,,,335.00,
Alter: 85-89,,,,,,,,,,,,,,,,,289.00,
Alter: 90-94,,,,,,,,,,,,,,,,,136.00,
Alter: 95-99,,,,,,,,,,,,,,,,,28.00,
Alter: 100-104,,,,,,,,,,,,,,,,,6.00,
Alter: 105-109,,,,,,,,,,,,,,,,,0.00,
Alter: 110-114,,,,,,,,,,,,,,,,,0.00,
Staatsangehörigkeit: Deutschland,307.00,327.00,340.00,378.00,397.00,450.00,481.00,538.00,566.00,600.00,612.00,623.00,638.00,672.00,653.00,684.00,737.00,
Staatsangehörigkeit: Italien,161.00,166.00,181.00,179.00,176.00,176.00,165.00,174.00,173.00,189.00,207.00,224.00,236.00,243.00,231.00,227.00,241.00,
Staatsangehörigkeit: Türkei,102.00,102.00,99.00,100.00,105.00,105.00,97.00,81.00,75.00,77.00,80.00,80.00,86.00,78.00,78.00,74.00,74.00,
"Staatsangehörigkeit: Serbien, Montenegro, Kosovo",40.00,44.00,37.00,40.00,31.00,27.00,30.00,29.00,25.00,27.00,33.00,36.00,38.00,50.00,47.00,38.00,35.00,
Staatsangehörigkeit: Spanien,48.00,50.00,49.00,40.00,40.00,40.00,43.00,39.00,37.00,39.00,39.00,48.00,45.00,60.00,75.00,71.00,80.00,
Staatsangehörigkeit: Portugal,37.00,40.00,37.00,37.00,24.00,23.00,27.00,30.00,36.00,53.00,50.00,60.00,67.00,55.00,60.00,51.00,48.00,
Staatsangehörigkeit: Mazedonien,3.00,1.00,6.00,8.00,9.00,10.00,10.00,10.00,12.00,8.00,9.00,11.00,16.00,12.00,13.00,11.00,15.00,
Staatsangehörigkeit: Vereinigtes Königreich,65.00,68.00,86.00,87.00,100.00,94.00,112.00,130.00,135.00,141.00,140.00,156.00,170.00,154.00,161.00,155.00,146.00,
Staatsangehörigkeit: Frankreich,33.00,35.00,31.00,37.00,35.00,42.00,49.00,57.00,57.00,67.00,75.00,84.00,98.00,107.00,116.00,147.00,148.00,
Staatsangehörigkeit: Indien,2.00,1.00,1.00,1.00,1.00,2.00,2.00,7.00,8.00,11.00,7.00,8.00,8.00,9.00,8.00,16.00,16.00,
Staatsangehörigkeit: Vereinigte Staaten von Amerika,45.00,57.00,57.00,68.00,77.00,81.00,64.00,77.00,76.00,88.00,95.00,114.00,99.00,95.00,92.00,103.00,116.00,
Staatsangehörigkeit: Österreich,28.00,37.00,36.00,37.00,41.00,50.00,43.00,42.00,43.00,44.00,55.00,65.00,68.00,72.00,64.00,64.00,61.00,
Staatsangehörigkeit: Kroatien,9.00,8.00,8.00,7.00,7.00,9.00,12.00,14.00,21.00,22.00,18.00,16.00,18.00,20.00,19.00,17.00,18.00,
Staatsangehörigkeit: Sri Lanka,11.00,11.00,8.00,7.00,7.00,5.00,5.00,5.00,4.00,3.00,0.00,4.00,3.00,3.00,3.00,2.00,2.00,
Staatsangehörigkeit: Polen,3.00,3.00,6.00,5.00,4.00,5.00,10.00,20.00,19.00,13.00,13.00,14.00,12.00,15.00,10.00,9.00,11.00,
Staatsangehörigkeit: Übriges Ausland,206.00,199.00,231.00,243.00,283.00,306.00,306.00,315.00,333.00,356.00,357.00,359.00,390.00,419.00,452.00,426.00,476.00,
Religion: Keine Zugehörigkeit,,,,,,,,,,,,,,4079.00,,,,
Religion: Protestantisch,,,,,,,,,,,,,,2287.00,,,,
Religion: Römisch-katolisch,,,,,,,,,,,,,,1612.00,,,,
Religion: Christ-katolisch,,,,,,,,,,,,,,34.00,,,,
Religion: Ostkirchliche Religionsgemeinde,,,,,,,,,,,,,,131.00,,,,
Religion: Jüdisch,,,,,,,,,,,,,,46.00,,,,
Religion: Muslimisch,,,,,,,,,,,,,,258.00,,,,
Religion: Andere,,,,,,,,,,,,,,233.00,,,,
Religion: Keine Angabe,,,,,,,,,,,,,,385.00,,,,
Vollzeitäquivalente,,,,,,,,,,,,1190.00,1172.00,1220.00,1206.00,,,
Sozialhilfequote,,1.57,1.79,2.30,2.28,2.23,2.46,1.99,2.04,1.99,1.68,1.80,1.67,1.48,1.77,1.80,1.55,
Geld: Veranlagungen,,,,,,,,,,,,,,,5037.00,,,
Geld: Reineinkommen Mittelwert,,,,,,,,,,,,,,,118672.00,,,
Geld: Reineinkommen Median,,,,,,,,,,,,,,,64291.00,,,
Geld: Reineinkommen Gini,,,,,,,,,,,,,,,0.62,,,
Geld: Einkommensteuer Mittelwert,,,,,,,,,,,,,,,20531.00,,,
Geld: Einkommensteuer Median,,,,,,,,,,,,,,,7966.00,,,
Geld: Einkommensteuer Summe,,,,,,,,,,,,,,,103416185.00,,,
Geld: Steuerbelastung des Reineinkommens,,,,,,,,,,,,,,,17.30,,,
Geld: Reinvermögen Mittelwert,,,,,,,,,,,,,,,2868374.00,,,
Geld: Reinvermögen Median,,,,,,,,,,,,,,,61127.00,,,
Geld: Reinvermögen Gini,,,,,,,,,,,,,,,0.97,,,
Geld: Vermögenssteuer Mittelwert,,,,,,,,,,,,,,,20903.00,,,
Geld: Vermögenssteuer Median,,,,,,,,,,,,,,,0.00,,,
Geld: Vermögenssteuer Summe,,,,,,,,,,,,,,,105290218.00,,,
Geld: Steuerbelastung des Reinvermögens,,,,,,,,,,,,,,,0.73,,,
