Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bevölkerung: Schweizer,5414.00,5334.00,5298.00,5287.00,5210.00,5194.00,5203.00,5138.00,5083.00,5060.00,5018.00,4995.00,5057.00,5012.00,4964.00,4951.00,4939.00,
Bevölkerung: Ausländer,1246.00,1239.00,1248.00,1320.00,1416.00,1443.00,1441.00,1532.00,1609.00,1720.00,1743.00,1767.00,1775.00,1784.00,1876.00,1890.00,1898.00,
Fläche: Zonen S-6,,,,,,,,,,,,,,,,,29.72,
Fläche: Zonen S-7,,,,,,,,,,,,,,,,,29.72,
Fläche: Gesamt,,,,,,,,,,,,,,,,,48.62,
Wanderungen Saldo: Schweizer,,,,,,,,,,,,-44.00,21.00,-38.00,-36.00,-48.00,,
Umzüge Saldo: Schweizer,,,,,,,,,,,,16.00,30.00,-14.00,-18.00,16.00,,
Wanderungen Saldo: Ausländer,,,,,,,,,,,,24.00,31.00,66.00,51.00,18.00,,
Umzüge Saldo: Ausländer,,,,,,,,,,,,16.00,-2.00,-32.00,35.00,7.00,,
Alter: 0-4,,,,,,,,,,,,,,,,,275.00,
Alter: 5-9,,,,,,,,,,,,,,,,,294.00,
Alter: 10-14,,,,,,,,,,,,,,,,,270.00,
Alter: 15-19,,,,,,,,,,,,,,,,,223.00,
Alter: 20-24,,,,,,,,,,,,,,,,,376.00,
Alter: 25-29,,,,,,,,,,,,,,,,,524.00,
Alter: 30-34,,,,,,,,,,,,,,,,,531.00,
Alter: 35-39,,,,,,,,,,,,,,,,,500.00,
Alter: 40-44,,,,,,,,,,,,,,,,,489.00,
Alter: 45-49,,,,,,,,,,,,,,,,,500.00,
Alter: 50-54,,,,,,,,,,,,,,,,,501.00,
Alter: 55-59,,,,,,,,,,,,,,,,,489.00,
Alter: 60-64,,,,,,,,,,,,,,,,,375.00,
Alter: 65-69,,,,,,,,,,,,,,,,,345.00,
Alter: 70-74,,,,,,,,,,,,,,,,,343.00,
Alter: 75-79,,,,,,,,,,,,,,,,,266.00,
Alter: 80-84,,,,,,,,,,,,,,,,,231.00,
Alter: 85-89,,,,,,,,,,,,,,,,,198.00,
Alter: 90-94,,,,,,,,,,,,,,,,,82.00,
Alter: 95-99,,,,,,,,,,,,,,,,,23.00,
Alter: 100-104,,,,,,,,,,,,,,,,,1.00,
Alter: 105-109,,,,,,,,,,,,,,,,,1.00,
Alter: 110-114,,,,,,,,,,,,,,,,,0.00,
Staatsangehörigkeit: Deutschland,208.00,221.00,246.00,276.00,334.00,392.00,398.00,465.00,494.00,546.00,560.00,591.00,570.00,574.00,596.00,597.00,585.00,
