Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bevölkerung: Schweizer,11363.00,11179.00,11035.00,11082.00,11021.00,11085.00,11035.00,11155.00,11358.00,11330.00,11289.00,11329.00,11377.00,11435.00,11518.00,11396.00,11506.00,
Bevölkerung: Ausländer,6881.00,6920.00,7057.00,7189.00,7283.00,7241.00,7337.00,7288.00,7263.00,7372.00,7182.00,7289.00,7272.00,7398.00,7423.00,7464.00,7375.00,
Fläche: Zonen S-6,,,,,,,,,,,,,,,,,68.15,
Fläche: Zonen S-7,,,,,,,,,,,,,,,,,68.15,
Fläche: Gesamt,,,,,,,,,,,,,,,,,118.13,
Wanderungen Saldo: Schweizer,,,,,,,,,,,,27.00,17.00,-15.00,-53.00,-94.00,,
Umzüge Saldo: Schweizer,,,,,,,,,,,,-97.00,-26.00,-45.00,-5.00,-119.00,,
Wanderungen Saldo: Ausländer,,,,,,,,,,,,284.00,256.00,175.00,130.00,212.00,,
Umzüge Saldo: Ausländer,,,,,,,,,,,,-133.00,-124.00,-45.00,-120.00,-120.00,,
Alter: 0-4,,,,,,,,,,,,,,,,,926.00,
Alter: 5-9,,,,,,,,,,,,,,,,,595.00,
Alter: 10-14,,,,,,,,,,,,,,,,,554.00,
Alter: 15-19,,,,,,,,,,,,,,,,,665.00,
Alter: 20-24,,,,,,,,,,,,,,,,,1191.00,
Alter: 25-29,,,,,,,,,,,,,,,,,2138.00,
Alter: 30-34,,,,,,,,,,,,,,,,,2163.00,
Alter: 35-39,,,,,,,,,,,,,,,,,1741.00,
Alter: 40-44,,,,,,,,,,,,,,,,,1269.00,
Alter: 45-49,,,,,,,,,,,,,,,,,1246.00,
Alter: 50-54,,,,,,,,,,,,,,,,,1359.00,
Alter: 55-59,,,,,,,,,,,,,,,,,1120.00,
Alter: 60-64,,,,,,,,,,,,,,,,,1019.00,
Alter: 65-69,,,,,,,,,,,,,,,,,829.00,
Alter: 70-74,,,,,,,,,,,,,,,,,652.00,
Alter: 75-79,,,,,,,,,,,,,,,,,515.00,
Alter: 80-84,,,,,,,,,,,,,,,,,418.00,
Alter: 85-89,,,,,,,,,,,,,,,,,280.00,
Alter: 90-94,,,,,,,,,,,,,,,,,157.00,
Alter: 95-99,,,,,,,,,,,,,,,,,41.00,
Alter: 100-104,,,,,,,,,,,,,,,,,2.00,
Alter: 105-109,,,,,,,,,,,,,,,,,1.00,
Alter: 110-114,,,,,,,,,,,,,,,,,0.00,
Staatsangehörigkeit: Deutschland,525.00,576.00,641.00,733.00,878.00,1002.00,1142.00,1273.00,1386.00,1471.00,1408.00,1505.00,1502.00,1516.00,1537.00,1519.00,1508.00,
Staatsangehörigkeit: Italien,1426.00,1353.00,1287.00,1246.00,1208.00,1136.00,1105.00,1042.00,1032.00,982.00,959.00,934.00,930.00,936.00,956.00,945.00,941.00,
Staatsangehörigkeit: Türkei,1456.00,1486.00,1507.00,1484.00,1476.00,1452.00,1382.00,1345.00,1268.00,1223.00,1185.00,1147.00,1118.00,1102.00,1081.00,1053.00,1041.00,
"Staatsangehörigkeit: Serbien, Montenegro, Kosovo",947.00,965.00,993.00,983.00,1007.00,959.00,956.00,869.00,813.00,763.00,726.00,738.00,747.00,726.00,707.00,691.00,667.00,
Staatsangehörigkeit: Spanien,445.00,411.00,386.00,371.00,347.00,318.00,301.00,291.00,287.00,279.00,271.00,262.00,282.00,291.00,311.00,320.00,349.00,
Staatsangehörigkeit: Portugal,151.00,156.00,175.00,174.00,181.00,191.00,186.00,168.00,166.00,161.00,137.00,153.00,165.00,210.00,187.00,180.00,173.00,
Staatsangehörigkeit: Mazedonien,218.00,224.00,219.00,233.00,240.00,224.00,251.00,244.00,250.00,250.00,269.00,277.00,276.00,274.00,273.00,270.00,271.00,
Staatsangehörigkeit: Vereinigtes Königreich,90.00,96.00,111.00,114.00,116.00,127.00,129.00,157.00,182.00,187.00,196.00,191.00,178.00,184.00,172.00,173.00,170.00,
Staatsangehörigkeit: Frankreich,117.00,117.00,122.00,112.00,110.00,125.00,131.00,152.00,148.00,168.00,149.00,160.00,174.00,169.00,177.00,195.00,169.00,
Staatsangehörigkeit: Indien,30.00,33.00,37.00,53.00,83.00,83.00,104.00,82.00,71.00,72.00,61.00,77.00,93.00,130.00,119.00,121.00,118.00,
Staatsangehörigkeit: Vereinigte Staaten von Amerika,53.00,42.00,50.00,45.00,57.00,55.00,50.00,69.00,75.00,85.00,79.00,85.00,102.00,100.00,98.00,91.00,80.00,
Staatsangehörigkeit: Österreich,86.00,96.00,100.00,100.00,99.00,104.00,104.00,103.00,116.00,118.00,113.00,101.00,107.00,111.00,113.00,115.00,117.00,
Staatsangehörigkeit: Kroatien,261.00,238.00,233.00,224.00,228.00,208.00,195.00,173.00,142.00,144.00,131.00,128.00,121.00,121.00,120.00,116.00,114.00,
Staatsangehörigkeit: Sri Lanka,145.00,148.00,143.00,134.00,129.00,129.00,138.00,133.00,120.00,135.00,125.00,104.00,99.00,104.00,100.00,107.00,99.00,
Staatsangehörigkeit: Polen,13.00,13.00,11.00,12.00,13.00,13.00,8.00,15.00,13.00,9.00,7.00,11.00,16.00,17.00,24.00,29.00,33.00,
Staatsangehörigkeit: Übriges Ausland,916.00,960.00,1061.00,1144.00,1087.00,1070.00,1106.00,1102.00,1145.00,1231.00,1279.00,1342.00,1362.00,1407.00,1448.00,1539.00,1525.00,
Religion: Keine Zugehörigkeit,,,,,,,,,,,,,,8200.00,,,,
Religion: Protestantisch,,,,,,,,,,,,,,2506.00,,,,
Religion: Römisch-katolisch,,,,,,,,,,,,,,2711.00,,,,
Religion: Christ-katolisch,,,,,,,,,,,,,,103.00,,,,
Religion: Ostkirchliche Religionsgemeinde,,,,,,,,,,,,,,682.00,,,,
Religion: Jüdisch,,,,,,,,,,,,,,27.00,,,,
Religion: Muslimisch,,,,,,,,,,,,,,2835.00,,,,
Religion: Andere,,,,,,,,,,,,,,1066.00,,,,
Religion: Keine Angabe,,,,,,,,,,,,,,703.00,,,,
Vollzeitäquivalente,,,,,,,,,,,,11682.00,11843.00,11884.00,11778.00,,,
Sozialhilfequote,,6.05,6.43,7.19,8.60,9.09,8.81,7.90,7.25,7.04,6.96,7.00,6.82,6.78,6.17,6.81,7.21,
Geld: Veranlagungen,,,,,,,,,,,,,,,11623.00,,,
Geld: Reineinkommen Mittelwert,,,,,,,,,,,,,,,55613.00,,,
Geld: Reineinkommen Median,,,,,,,,,,,,,,,47156.00,,,
Geld: Reineinkommen Gini,,,,,,,,,,,,,,,0.43,,,
Geld: Einkommensteuer Mittelwert,,,,,,,,,,,,,,,7151.00,,,
Geld: Einkommensteuer Median,,,,,,,,,,,,,,,4940.00,,,
Geld: Einkommensteuer Summe,,,,,,,,,,,,,,,83120227.00,,,
Geld: Steuerbelastung des Reineinkommens,,,,,,,,,,,,,,,12.86,,,
Geld: Reinvermögen Mittelwert,,,,,,,,,,,,,,,139876.00,,,
Geld: Reinvermögen Median,,,,,,,,,,,,,,,10380.00,,,
Geld: Reinvermögen Gini,,,,,,,,,,,,,,,0.86,,,
Geld: Vermögenssteuer Mittelwert,,,,,,,,,,,,,,,526.00,,,
Geld: Vermögenssteuer Median,,,,,,,,,,,,,,,0.00,,,
Geld: Vermögenssteuer Summe,,,,,,,,,,,,,,,6115398.00,,,
Geld: Steuerbelastung des Reinvermögens,,,,,,,,,,,,,,,0.38,,,
