Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bevölkerung: Schweizer,7558.00,7489.00,7458.00,7341.00,7277.00,7195.00,7016.00,6934.00,6912.00,6973.00,6939.00,7003.00,6904.00,6913.00,6929.00,7021.00,7015.00,
Bevölkerung: Ausländer,1590.00,1568.00,1562.00,1557.00,1511.00,1539.00,1510.00,1490.00,1552.00,1609.00,1580.00,1682.00,1744.00,1813.00,2005.00,1983.00,2215.00,
Fläche: Zonen S-6,,,,,,,,,,,,,,,,,63.21,
Fläche: Zonen S-7,,,,,,,,,,,,,,,,,63.21,
Fläche: Gesamt,,,,,,,,,,,,,,,,,305.47,
Wanderungen Saldo: Schweizer,,,,,,,,,,,,-47.00,-50.00,14.00,-80.00,-6.00,,
Umzüge Saldo: Schweizer,,,,,,,,,,,,92.00,-24.00,-7.00,92.00,48.00,,
Wanderungen Saldo: Ausländer,,,,,,,,,,,,103.00,151.00,126.00,89.00,18.00,,
Umzüge Saldo: Ausländer,,,,,,,,,,,,27.00,-64.00,126.00,128.00,5.00,,
Alter: 0-4,,,,,,,,,,,,,,,,,481.00,
Alter: 5-9,,,,,,,,,,,,,,,,,461.00,
Alter: 10-14,,,,,,,,,,,,,,,,,406.00,
Alter: 15-19,,,,,,,,,,,,,,,,,408.00,
Alter: 20-24,,,,,,,,,,,,,,,,,456.00,
Alter: 25-29,,,,,,,,,,,,,,,,,581.00,
Alter: 30-34,,,,,,,,,,,,,,,,,627.00,
Alter: 35-39,,,,,,,,,,,,,,,,,652.00,
Alter: 40-44,,,,,,,,,,,,,,,,,556.00,
Alter: 45-49,,,,,,,,,,,,,,,,,593.00,
Alter: 50-54,,,,,,,,,,,,,,,,,626.00,
Alter: 55-59,,,,,,,,,,,,,,,,,568.00,
Alter: 60-64,,,,,,,,,,,,,,,,,553.00,
Alter: 65-69,,,,,,,,,,,,,,,,,531.00,
Alter: 70-74,,,,,,,,,,,,,,,,,526.00,
Alter: 75-79,,,,,,,,,,,,,,,,,424.00,
Alter: 80-84,,,,,,,,,,,,,,,,,393.00,
Alter: 85-89,,,,,,,,,,,,,,,,,252.00,
Alter: 90-94,,,,,,,,,,,,,,,,,109.00,
Alter: 95-99,,,,,,,,,,,,,,,,,26.00,
Alter: 100-104,,,,,,,,,,,,,,,,,1.00,
Alter: 105-109,,,,,,,,,,,,,,,,,0.00,
Alter: 110-114,,,,,,,,,,,,,,,,,0.00,
Staatsangehörigkeit: Deutschland,292.00,287.00,295.00,305.00,322.00,346.00,352.00,381.00,433.00,439.00,445.00,480.00,508.00,529.00,562.00,556.00,604.00,
Staatsangehörigkeit: Italien,346.00,352.00,333.00,327.00,318.00,327.00,324.00,318.00,310.00,328.00,323.00,333.00,322.00,315.00,319.00,299.00,320.00,
Staatsangehörigkeit: Türkei,408.00,383.00,354.00,348.00,338.00,314.00,294.00,271.00,284.00,266.00,256.00,262.00,243.00,255.00,279.00,279.00,269.00,
"Staatsangehörigkeit: Serbien, Montenegro, Kosovo",97.00,89.00,91.00,97.00,76.00,92.00,91.00,84.00,69.00,75.00,86.00,91.00,114.00,107.00,128.00,127.00,118.00,
Staatsangehörigkeit: Spanien,67.00,65.00,58.00,57.00,59.00,54.00,63.00,66.00,64.00,65.00,53.00,51.00,53.00,70.00,91.00,98.00,123.00,
Staatsangehörigkeit: Portugal,26.00,29.00,33.00,32.00,31.00,26.00,19.00,22.00,21.00,25.00,21.00,26.00,30.00,31.00,38.00,42.00,46.00,
Staatsangehörigkeit: Mazedonien,48.00,53.00,53.00,64.00,59.00,42.00,33.00,25.00,31.00,32.00,35.00,38.00,48.00,51.00,58.00,52.00,65.00,
Staatsangehörigkeit: Vereinigtes Königreich,9.00,16.00,17.00,12.00,20.00,14.00,19.00,23.00,13.00,16.00,18.00,34.00,29.00,30.00,47.00,42.00,51.00,
Staatsangehörigkeit: Frankreich,32.00,30.00,30.00,24.00,25.00,24.00,26.00,26.00,25.00,23.00,29.00,27.00,37.00,41.00,47.00,43.00,72.00,
Staatsangehörigkeit: Indien,8.00,14.00,14.00,18.00,7.00,8.00,12.00,18.00,22.00,30.00,28.00,25.00,26.00,34.00,29.00,20.00,13.00,
Staatsangehörigkeit: Vereinigte Staaten von Amerika,12.00,12.00,17.00,13.00,10.00,11.00,11.00,11.00,9.00,15.00,10.00,13.00,12.00,9.00,16.00,19.00,25.00,
Staatsangehörigkeit: Österreich,23.00,23.00,20.00,19.00,20.00,18.00,16.00,16.00,24.00,26.00,24.00,29.00,33.00,33.00,30.00,32.00,35.00,
Staatsangehörigkeit: Kroatien,35.00,32.00,30.00,28.00,25.00,30.00,33.00,31.00,33.00,35.00,31.00,28.00,22.00,23.00,27.00,29.00,41.00,
Staatsangehörigkeit: Sri Lanka,7.00,9.00,8.00,7.00,4.00,1.00,1.00,1.00,1.00,4.00,4.00,4.00,4.00,4.00,4.00,6.00,6.00,
Staatsangehörigkeit: Polen,3.00,3.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,0.00,6.00,1.00,2.00,1.00,2.00,2.00,3.00,
Staatsangehörigkeit: Übriges Ausland,173.00,176.00,212.00,217.00,205.00,220.00,223.00,206.00,216.00,228.00,213.00,247.00,261.00,280.00,328.00,337.00,424.00,
Religion: Keine Zugehörigkeit,,,,,,,,,,,,,,4058.00,,,,
Religion: Protestantisch,,,,,,,,,,,,,,1738.00,,,,
Religion: Römisch-katolisch,,,,,,,,,,,,,,1382.00,,,,
Religion: Christ-katolisch,,,,,,,,,,,,,,26.00,,,,
Religion: Ostkirchliche Religionsgemeinde,,,,,,,,,,,,,,120.00,,,,
Religion: Jüdisch,,,,,,,,,,,,,,7.00,,,,
Religion: Muslimisch,,,,,,,,,,,,,,719.00,,,,
Religion: Andere,,,,,,,,,,,,,,264.00,,,,
Religion: Keine Angabe,,,,,,,,,,,,,,412.00,,,,
Vollzeitäquivalente,,,,,,,,,,,,2953.00,2934.00,2994.00,3031.00,,,
Sozialhilfequote,,3.73,3.81,4.50,4.88,5.36,5.15,4.87,4.51,4.33,4.24,4.84,4.51,4.89,4.93,4.70,4.75,
Geld: Veranlagungen,,,,,,,,,,,,,,,5270.00,,,
Geld: Reineinkommen Mittelwert,,,,,,,,,,,,,,,58982.00,,,
Geld: Reineinkommen Median,,,,,,,,,,,,,,,51079.00,,,
Geld: Reineinkommen Gini,,,,,,,,,,,,,,,0.41,,,
