Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bevölkerung: Schweizer,11501.00,11337.00,11231.00,11204.00,11154.00,10868.00,10700.00,10668.00,10654.00,10547.00,10562.00,10552.00,10552.00,10526.00,10526.00,10497.00,10424.00,
Bevölkerung: Ausländer,4436.00,4567.00,4641.00,4824.00,4874.00,4838.00,4937.00,5018.00,5085.00,5251.00,5410.00,5606.00,5643.00,5854.00,5928.00,6095.00,6258.00,
Fläche: Zonen S-6,,,,,,,,,,,,,,,,,56.35,
Fläche: Zonen S-7,,,,,,,,,,,,,,,,,56.35,
Fläche: Gesamt,,,,,,,,,,,,,,,,,109.05,
Wanderungen Saldo: Schweizer,,,,,,,,,,,,-68.00,-7.00,-52.00,-93.00,-82.00,,
Umzüge Saldo: Schweizer,,,,,,,,,,,,-5.00,-69.00,-32.00,-25.00,-93.00,,
Wanderungen Saldo: Ausländer,,,,,,,,,,,,82.00,7.00,113.00,83.00,71.00,,
Umzüge Saldo: Ausländer,,,,,,,,,,,,127.00,104.00,110.00,19.00,159.00,,
Alter: 0-4,,,,,,,,,,,,,,,,,787.00,
Alter: 5-9,,,,,,,,,,,,,,,,,685.00,
Alter: 10-14,,,,,,,,,,,,,,,,,656.00,
Alter: 15-19,,,,,,,,,,,,,,,,,724.00,
Alter: 20-24,,,,,,,,,,,,,,,,,1117.00,
Alter: 25-29,,,,,,,,,,,,,,,,,1640.00,
Alter: 30-34,,,,,,,,,,,,,,,,,1590.00,
Alter: 35-39,,,,,,,,,,,,,,,,,1264.00,
Alter: 40-44,,,,,,,,,,,,,,,,,1087.00,
Alter: 45-49,,,,,,,,,,,,,,,,,1177.00,
Alter: 50-54,,,,,,,,,,,,,,,,,1241.00,
Alter: 55-59,,,,,,,,,,,,,,,,,1078.00,
Alter: 60-64,,,,,,,,,,,,,,,,,833.00,
Alter: 65-69,,,,,,,,,,,,,,,,,798.00,
Alter: 70-74,,,,,,,,,,,,,,,,,580.00,
Alter: 75-79,,,,,,,,,,,,,,,,,511.00,
Alter: 80-84,,,,,,,,,,,,,,,,,463.00,
Alter: 85-89,,,,,,,,,,,,,,,,,310.00,
Alter: 90-94,,,,,,,,,,,,,,,,,114.00,
Alter: 95-99,,,,,,,,,,,,,,,,,26.00,
Alter: 100-104,,,,,,,,,,,,,,,,,1.00,
