Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bevölkerung: Schweizer,1421.00,1398.00,1382.00,1408.00,1392.00,1395.00,1369.00,1430.00,1453.00,1443.00,1471.00,1493.00,1567.00,1562.00,1562.00,1555.00,1536.00,
Bevölkerung: Ausländer,938.00,962.00,1067.00,1085.00,1078.00,1156.00,1177.00,1114.00,1079.00,1197.00,1141.00,1200.00,1310.00,1316.00,1314.00,1345.00,1357.00,
Fläche: Zonen S-6,,,,,,,,,,,,,,,,,12.88,
Fläche: Zonen S-7,,,,,,,,,,,,,,,,,56.13,
Fläche: Gesamt,,,,,,,,,,,,,,,,,135.96,
Wanderungen Saldo: Schweizer,,,,,,,,,,,,0.00,-4.00,0.00,-38.00,0.00,,
Umzüge Saldo: Schweizer,,,,,,,,,,,,25.00,54.00,5.00,31.00,-5.00,,
Wanderungen Saldo: Ausländer,,,,,,,,,,,,52.00,79.00,33.00,16.00,7.00,,
Umzüge Saldo: Ausländer,,,,,,,,,,,,7.00,24.00,-21.00,-8.00,25.00,,
Alter: 0-4,,,,,,,,,,,,,,,,,158.00,
Alter: 5-9,,,,,,,,,,,,,,,,,144.00,
Alter: 10-14,,,,,,,,,,,,,,,,,137.00,
Alter: 15-19,,,,,,,,,,,,,,,,,136.00,
Alter: 20-24,,,,,,,,,,,,,,,,,198.00,
Alter: 25-29,,,,,,,,,,,,,,,,,227.00,
Alter: 30-34,,,,,,,,,,,,,,,,,223.00,
Alter: 35-39,,,,,,,,,,,,,,,,,204.00,
Alter: 40-44,,,,,,,,,,,,,,,,,178.00,
Alter: 45-49,,,,,,,,,,,,,,,,,200.00,
Alter: 50-54,,,,,,,,,,,,,,,,,224.00,
Alter: 55-59,,,,,,,,,,,,,,,,,193.00,
Alter: 60-64,,,,,,,,,,,,,,,,,163.00,
Alter: 65-69,,,,,,,,,,,,,,,,,130.00,
Alter: 70-74,,,,,,,,,,,,,,,,,125.00,
Alter: 75-79,,,,,,,,,,,,,,,,,94.00,
Alter: 80-84,,,,,,,,,,,,,,,,,79.00,
Alter: 85-89,,,,,,,,,,,,,,,,,44.00,
Alter: 90-94,,,,,,,,,,,,,,,,,21.00,
Alter: 95-99,,,,,,,,,,,,,,,,,15.00,
Alter: 100-104,,,,,,,,,,,,,,,,,0.00,
Alter: 105-109,,,,,,,,,,,,,,,,,0.00,
Alter: 110-114,,,,,,,,,,,,,,,,,0.00,
Staatsangehörigkeit: Deutschland,63.00,60.00,74.00,95.00,87.00,95.00,108.00,119.00,125.00,142.00,141.00,155.00,195.00,191.00,177.00,188.00,192.00,
Staatsangehörigkeit: Italien,302.00,302.00,304.00,295.00,266.00,251.00,244.00,218.00,212.00,210.00,212.00,209.00,196.00,206.00,198.00,199.00,196.00,
Staatsangehörigkeit: Türkei,159.00,154.00,184.00,192.00,210.00,218.00,233.00,226.00,204.00,212.00,206.00,206.00,188.00,188.00,195.00,184.00,179.00,
"Staatsangehörigkeit: Serbien, Montenegro, Kosovo",113.00,114.00,98.00,105.00,95.00,115.00,113.00,99.00,84.00,107.00,108.00,128.00,135.00,138.00,141.00,139.00,127.00,
Staatsangehörigkeit: Spanien,39.00,40.00,47.00,50.00,39.00,34.00,31.00,27.00,30.00,30.00,27.00,28.00,30.00,31.00,29.00,33.00,36.00,
Staatsangehörigkeit: Portugal,22.00,23.00,24.00,27.00,24.00,25.00,32.00,32.00,28.00,27.00,26.00,29.00,33.00,36.00,42.00,41.00,42.00,
Staatsangehörigkeit: Mazedonien,80.00,85.00,104.00,98.00,99.00,121.00,122.00,127.00,129.00,119.00,121.00,118.00,124.00,120.00,118.00,125.00,118.00,
Staatsangehörigkeit: Vereinigtes Königreich,2.00,4.00,6.00,7.00,9.00,16.00,15.00,21.00,25.00,26.00,12.00,11.00,15.00,16.00,25.00,26.00,22.00,
Staatsangehörigkeit: Frankreich,9.00,8.00,9.00,8.00,13.00,8.00,10.00,17.00,21.00,24.00,9.00,12.00,13.00,15.00,13.00,14.00,14.00,
Staatsangehörigkeit: Indien,0.00,0.00,3.00,8.00,11.00,15.00,13.00,5.00,5.00,7.00,4.00,13.00,28.00,18.00,19.00,20.00,18.00,
Staatsangehörigkeit: Vereinigte Staaten von Amerika,1.00,1.00,0.00,2.00,6.00,15.00,13.00,9.00,10.00,5.00,4.00,4.00,6.00,12.00,13.00,8.00,10.00,
Staatsangehörigkeit: Österreich,26.00,26.00,29.00,33.00,36.00,36.00,35.00,33.00,29.00,34.00,35.00,32.00,27.00,26.00,25.00,22.00,24.00,
Staatsangehörigkeit: Kroatien,21.00,14.00,20.00,21.00,18.00,22.00,25.00,19.00,21.00,24.00,25.00,26.00,27.00,25.00,23.00,24.00,19.00,
Staatsangehörigkeit: Sri Lanka,14.00,16.00,18.00,16.00,20.00,36.00,29.00,21.00,19.00,26.00,21.00,20.00,20.00,23.00,23.00,22.00,25.00,
Staatsangehörigkeit: Polen,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,1.00,2.00,2.00,
Staatsangehörigkeit: Übriges Ausland,92.00,116.00,156.00,139.00,142.00,151.00,157.00,138.00,147.00,203.00,197.00,216.00,272.00,269.00,272.00,298.00,333.00,
Religion: Keine Zugehörigkeit,,,,,,,,,,,,,,1132.00,,,,
Religion: Protestantisch,,,,,,,,,,,,,,293.00,,,,
Religion: Römisch-katolisch,,,,,,,,,,,,,,352.00,,,,
Religion: Christ-katolisch,,,,,,,,,,,,,,11.00,,,,
Religion: Ostkirchliche Religionsgemeinde,,,,,,,,,,,,,,128.00,,,,
Religion: Jüdisch,,,,,,,,,,,,,,0.00,,,,
Religion: Muslimisch,,,,,,,,,,,,,,621.00,,,,
Religion: Andere,,,,,,,,,,,,,,204.00,,,,
Religion: Keine Angabe,,,,,,,,,,,,,,137.00,,,,
Vollzeitäquivalente,,,,,,,,,,,,4508.00,4754.00,5384.00,5890.00,,,
Sozialhilfequote,,7.71,7.96,9.71,11.46,11.49,12.45,11.48,11.10,9.28,10.91,13.11,12.23,12.72,13.32,13.59,14.31,
Geld: Veranlagungen,,,,,,,,,,,,,,,1617.00,,,
Geld: Reineinkommen Mittelwert,,,,,,,,,,,,,,,45488.00,,,
Geld: Reineinkommen Median,,,,,,,,,,,,,,,41881.00,,,
Geld: Reineinkommen Gini,,,,,,,,,,,,,,,0.41,,,
Geld: Einkommensteuer Mittelwert,,,,,,,,,,,,,,,4839.00,,,
Geld: Einkommensteuer Median,,,,,,,,,,,,,,,2937.00,,,
Geld: Einkommensteuer Summe,,,,,,,,,,,,,,,7824894.00,,,
Geld: Steuerbelastung des Reineinkommens,,,,,,,,,,,,,,,10.64,,,
Geld: Reinvermögen Mittelwert,,,,,,,,,,,,,,,63484.00,,,
Geld: Reinvermögen Median,,,,,,,,,,,,,,,2776.00,,,
Geld: Reinvermögen Gini,,,,,,,,,,,,,,,0.85,,,
Geld: Vermögenssteuer Mittelwert,,,,,,,,,,,,,,,171.00,,,
Geld: Vermögenssteuer Median,,,,,,,,,,,,,,,0.00,,,
Geld: Vermögenssteuer Summe,,,,,,,,,,,,,,,276678.00,,,
Geld: Steuerbelastung des Reinvermögens,,,,,,,,,,,,,,,0.27,,,
