Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bevölkerung: Schweizer,3627.00,3597.00,3560.00,3522.00,3516.00,3481.00,3541.00,3574.00,3714.00,3695.00,3670.00,3618.00,3561.00,3599.00,3567.00,3511.00,3481.00,
Bevölkerung: Ausländer,3486.00,3424.00,3463.00,3542.00,3496.00,3573.00,3625.00,3463.00,3431.00,3552.00,3500.00,3622.00,3707.00,3695.00,3781.00,3770.00,3721.00,
Fläche: Zonen S-6,,,,,,,,,,,,,,,,,19.02,
Fläche: Zonen S-7,,,,,,,,,,,,,,,,,56.93,
Fläche: Gesamt,,,,,,,,,,,,,,,,,91.77,
Wanderungen Saldo: Schweizer,,,,,,,,,,,,-78.00,-56.00,-31.00,-42.00,-32.00,,
Umzüge Saldo: Schweizer,,,,,,,,,,,,-8.00,6.00,28.00,-9.00,-48.00,,
Wanderungen Saldo: Ausländer,,,,,,,,,,,,76.00,48.00,31.00,60.00,24.00,,
Umzüge Saldo: Ausländer,,,,,,,,,,,,45.00,34.00,-7.00,-6.00,-29.00,,
Alter: 0-4,,,,,,,,,,,,,,,,,383.00,
Alter: 5-9,,,,,,,,,,,,,,,,,386.00,
Alter: 10-14,,,,,,,,,,,,,,,,,312.00,
Alter: 15-19,,,,,,,,,,,,,,,,,316.00,
Alter: 20-24,,,,,,,,,,,,,,,,,476.00,
Alter: 25-29,,,,,,,,,,,,,,,,,644.00,
Alter: 30-34,,,,,,,,,,,,,,,,,650.00,
Alter: 35-39,,,,,,,,,,,,,,,,,588.00,
Alter: 40-44,,,,,,,,,,,,,,,,,547.00,
Alter: 45-49,,,,,,,,,,,,,,,,,487.00,
Alter: 50-54,,,,,,,,,,,,,,,,,557.00,
Alter: 55-59,,,,,,,,,,,,,,,,,490.00,
Alter: 60-64,,,,,,,,,,,,,,,,,375.00,
Alter: 65-69,,,,,,,,,,,,,,,,,318.00,
Alter: 70-74,,,,,,,,,,,,,,,,,209.00,
Alter: 75-79,,,,,,,,,,,,,,,,,189.00,
Alter: 80-84,,,,,,,,,,,,,,,,,134.00,
Alter: 85-89,,,,,,,,,,,,,,,,,91.00,
Alter: 90-94,,,,,,,,,,,,,,,,,35.00,
Alter: 95-99,,,,,,,,,,,,,,,,,13.00,
Alter: 100-104,,,,,,,,,,,,,,,,,2.00,
Alter: 105-109,,,,,,,,,,,,,,,,,0.00,
Alter: 110-114,,,,,,,,,,,,,,,,,0.00,
Staatsangehörigkeit: Deutschland,122.00,113.00,139.00,168.00,189.00,216.00,270.00,310.00,362.00,411.00,398.00,409.00,400.00,416.00,436.00,430.00,410.00,
Staatsangehörigkeit: Italien,976.00,919.00,874.00,859.00,798.00,774.00,754.00,703.00,664.00,657.00,632.00,598.00,574.00,572.00,583.00,576.00,565.00,
Staatsangehörigkeit: Türkei,636.00,613.00,636.00,629.00,630.00,627.00,634.00,605.00,589.00,588.00,596.00,603.00,615.00,617.00,616.00,610.00,578.00,
"Staatsangehörigkeit: Serbien, Montenegro, Kosovo",457.00,439.00,461.00,471.00,501.00,521.00,494.00,453.00,403.00,407.00,421.00,421.00,412.00,404.00,399.00,390.00,368.00,
Staatsangehörigkeit: Spanien,365.00,342.00,329.00,311.00,284.00,259.00,245.00,228.00,216.00,222.00,218.00,218.00,235.00,241.00,243.00,233.00,217.00,
Staatsangehörigkeit: Portugal,150.00,158.00,178.00,195.00,207.00,225.00,238.00,261.00,300.00,343.00,318.00,379.00,379.00,360.00,373.00,358.00,346.00,
Staatsangehörigkeit: Mazedonien,243.00,288.00,266.00,275.00,258.00,251.00,248.00,223.00,202.00,215.00,215.00,240.00,267.00,255.00,275.00,283.00,287.00,
Staatsangehörigkeit: Vereinigtes Königreich,9.00,7.00,8.00,11.00,10.00,9.00,11.00,13.00,16.00,16.00,17.00,22.00,21.00,15.00,20.00,24.00,29.00,
Staatsangehörigkeit: Frankreich,22.00,25.00,24.00,28.00,29.00,32.00,38.00,33.00,37.00,40.00,38.00,39.00,40.00,39.00,41.00,42.00,40.00,
Staatsangehörigkeit: Indien,0.00,1.00,1.00,2.00,2.00,1.00,14.00,16.00,13.00,34.00,27.00,46.00,66.00,63.00,39.00,53.00,40.00,
Staatsangehörigkeit: Vereinigte Staaten von Amerika,10.00,8.00,11.00,10.00,6.00,6.00,7.00,8.00,10.00,12.00,10.00,12.00,10.00,12.00,11.00,10.00,12.00,
Staatsangehörigkeit: Österreich,31.00,29.00,35.00,30.00,34.00,31.00,27.00,29.00,27.00,22.00,26.00,23.00,25.00,22.00,29.00,31.00,32.00,
Staatsangehörigkeit: Kroatien,109.00,116.00,121.00,114.00,121.00,121.00,126.00,110.00,96.00,82.00,80.00,78.00,78.00,68.00,58.00,58.00,49.00,
Staatsangehörigkeit: Sri Lanka,57.00,62.00,68.00,79.00,81.00,80.00,79.00,74.00,79.00,67.00,63.00,65.00,65.00,69.00,72.00,71.00,76.00,
Staatsangehörigkeit: Polen,1.00,2.00,2.00,3.00,3.00,1.00,4.00,3.00,3.00,6.00,3.00,2.00,1.00,3.00,2.00,1.00,2.00,
Staatsangehörigkeit: Übriges Ausland,283.00,290.00,319.00,352.00,351.00,407.00,419.00,387.00,415.00,426.00,423.00,474.00,519.00,539.00,584.00,600.00,670.00,
Religion: Keine Zugehörigkeit,,,,,,,,,,,,,,2998.00,,,,
Religion: Protestantisch,,,,,,,,,,,,,,691.00,,,,
Religion: Römisch-katolisch,,,,,,,,,,,,,,888.00,,,,
Religion: Christ-katolisch,,,,,,,,,,,,,,30.00,,,,
Religion: Ostkirchliche Religionsgemeinde,,,,,,,,,,,,,,230.00,,,,
Religion: Jüdisch,,,,,,,,,,,,,,2.00,,,,
Religion: Muslimisch,,,,,,,,,,,,,,1658.00,,,,
Religion: Andere,,,,,,,,,,,,,,454.00,,,,
Religion: Keine Angabe,,,,,,,,,,,,,,343.00,,,,
Vollzeitäquivalente,,,,,,,,,,,,6605.00,6912.00,6171.00,6000.00,,,
Sozialhilfequote,,8.52,8.36,9.92,11.55,12.04,12.03,11.84,11.34,11.62,11.55,12.25,12.84,13.49,12.96,12.62,13.62,
Geld: Veranlagungen,,,,,,,,,,,,,,,4149.00,,,
Geld: Reineinkommen Mittelwert,,,,,,,,,,,,,,,42361.00,,,
Geld: Reineinkommen Median,,,,,,,,,,,,,,,38332.00,,,
Geld: Reineinkommen Gini,,,,,,,,,,,,,,,0.43,,,
Geld: Einkommensteuer Mittelwert,,,,,,,,,,,,,,,4410.00,,,
Geld: Einkommensteuer Median,,,,,,,,,,,,,,,2603.00,,,
Geld: Einkommensteuer Summe,,,,,,,,,,,,,,,18297584.00,,,
Geld: Steuerbelastung des Reineinkommens,,,,,,,,,,,,,,,10.41,,,
Geld: Reinvermögen Mittelwert,,,,,,,,,,,,,,,57717.00,,,
Geld: Reinvermögen Median,,,,,,,,,,,,,,,1440.00,,,
Geld: Reinvermögen Gini,,,,,,,,,,,,,,,0.88,,,
Geld: Vermögenssteuer Mittelwert,,,,,,,,,,,,,,,176.00,,,
Geld: Vermögenssteuer Median,,,,,,,,,,,,,,,0.00,,,
Geld: Vermögenssteuer Summe,,,,,,,,,,,,,,,730606.00,,,
Geld: Steuerbelastung des Reinvermögens,,,,,,,,,,,,,,,0.31,,,
