,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bevölkerung: Schweizer,7813.00,7746.00,7733.00,7802.00,7851.00,7906.00,7784.00,7882.00,7952.00,7829.00,7816.00,7811.00,7823.00,7909.00,7864.00,7901.00,7866.00,
Bevölkerung: Ausländer,7471.00,7394.00,7693.00,7778.00,7799.00,7774.00,7854.00,7814.00,8087.00,8012.00,7947.00,8169.00,8139.00,8308.00,8388.00,8271.00,8064.00,
Fläche: Zonen S-6,,,,,,,,,,,,,,,,,40.11,
Fläche: Zonen S-7,,,,,,,,,,,,,,,,,40.11,
Fläche: Gesamt,,,,,,,,,,,,,,,,,59.05,
Wanderungen Saldo: Schweizer,,,,,,,,,,,,43.00,-52.00,32.00,-51.00,-25.00,,
Umzüge Saldo: Schweizer,,,,,,,,,,,,-98.00,11.00,-51.00,-135.00,-90.00,,
Wanderungen Saldo: Ausländer,,,,,,,,,,,,349.00,237.00,253.00,-135.00,178.00,,
Umzüge Saldo: Ausländer,,,,,,,,,,,,-135.00,-202.00,-116.00,-135.00,-250.00,,
Alter: 0-4,,,,,,,,,,,,,,,,,829.00,
Alter: 5-9,,,,,,,,,,,,,,,,,642.00,
Alter: 10-14,,,,,,,,,,,,,,,,,495.00,
Alter: 15-19,,,,,,,,,,,,,,,,,570.00,
Alter: 20-24,,,,,,,,,,,,,,,,,1074.00,
Alter: 25-29,,,,,,,,,,,,,,,,,1728.00,
Alter: 30-34,,,,,,,,,,,,,,,,,1803.00,
Alter: 35-39,,,,,,,,,,,,,,,,,1460.00,
Alter: 40-44,,,,,,,,,,,,,,,,,1246.00,
Alter: 45-49,,,,,,,,,,,,,,,,,1022.00,
Alter: 50-54,,,,,,,,,,,,,,,,,1142.00,
Alter: 55-59,,,,,,,,,,,,,,,,,1059.00,
Alter: 60-64,,,,,,,,,,,,,,,,,889.00,
Alter: 65-69,,,,,,,,,,,,,,,,,659.00,
Alter: 70-74,,,,,,,,,,,,,,,,,505.00,
Alter: 75-79,,,,,,,,,,,,,,,,,335.00,
Alter: 80-84,,,,,,,,,,,,,,,,,238.00,
Alter: 85-89,,,,,,,,,,,,,,,,,144.00,
Alter: 90-94,,,,,,,,,,,,,,,,,64.00,
Alter: 95-99,,,,,,,,,,,,,,,,,19.00,
Alter: 100-104,,,,,,,,,,,,,,,,,6.00,
Alter: 105-109,,,,,,,,,,,,,,,,,1.00,
Alter: 110-114,,,,,,,,,,,,,,,,,0.00,
Staatsangehörigkeit: Deutschland,463.00,518.00,603.00,698.00,790.00,898.00,970.00,1094.00,1223.00,1280.00,1335.00,1398.00,1391.00,1415.00,1422.00,1387.00,1382.00,
Staatsangehörigkeit: Italien,1395.00,1303.00,1261.00,1197.00,1149.00,1060.00,1013.00,973.00,942.00,881.00,881.00,915.00,880.00,894.00,915.00,903.00,884.00,
Staatsangehörigkeit: Türkei,1419.00,1350.00,1374.00,1337.00,1248.00,1236.00,1201.00,1105.00,1048.00,990.00,966.00,950.00,900.00,882.00,841.00,812.00,794.00,
"Staatsangehörigkeit: Serbien, Montenegro, Kosovo",1277.00,1275.00,1300.00,1349.00,1311.00,1293.00,1243.00,1158.00,1085.00,992.00,956.00,949.00,924.00,870.00,825.00,806.00,759.00,
Staatsangehörigkeit: Spanien,533.00,489.00,469.00,437.00,415.00,376.00,357.00,317.00,322.00,309.00,296.00,299.00,317.00,389.00,440.00,431.00,396.00,
Staatsangehörigkeit: Portugal,210.00,200.00,250.00,259.00,274.00,297.00,320.00,395.00,451.00,476.00,498.00,508.00,505.00,587.00,619.00,606.00,595.00,
Staatsangehörigkeit: Mazedonien,466.00,444.00,506.00,498.00,524.00,516.00,520.00,508.00,492.00,475.00,483.00,475.00,458.00,475.00,460.00,444.00,435.00,
Staatsangehörigkeit: Vereinigtes Königreich,75.00,86.00,101.00,89.00,107.00,115.00,122.00,118.00,140.00,147.00,128.00,153.00,146.00,132.00,137.00,131.00,129.00,
Staatsangehörigkeit: Frankreich,80.00,69.00,69.00,78.00,87.00,97.00,94.00,109.00,122.00,134.00,116.00,116.00,111.00,127.00,137.00,154.00,163.00,
Staatsangehörigkeit: Indien,15.00,26.00,24.00,22.00,38.00,58.00,81.00,110.00,214.00,272.00,296.00,417.00,446.00,406.00,387.00,385.00,317.00,
Staatsangehörigkeit: Vereinigte Staaten von Amerika,32.00,36.00,45.00,47.00,56.00,56.00,57.00,60.00,68.00,81.00,91.00,90.00,108.00,108.00,110.00,96.00,95.00,
Staatsangehörigkeit: Österreich,40.00,47.00,52.00,58.00,65.00,64.00,68.00,70.00,79.00,95.00,88.00,80.00,86.00,92.00,98.00,98.00,97.00,
Staatsangehörigkeit: Kroatien,290.00,281.00,277.00,256.00,238.00,210.00,183.00,190.00,155.00,162.00,168.00,158.00,139.00,137.00,135.00,122.00,122.00,
Staatsangehörigkeit: Sri Lanka,226.00,227.00,228.00,208.00,206.00,192.00,181.00,151.00,152.00,155.00,141.00,141.00,147.00,136.00,132.00,132.00,127.00,
