Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bevölkerung: Schweizer,17846.00,17807.00,17669.00,17527.00,17341.00,17154.00,17060.00,16891.00,16801.00,16622.00,16535.00,16312.00,16231.00,16105.00,15906.00,15746.00,15637.00,
Bevölkerung: Ausländer,2694.00,2936.00,3053.00,3194.00,3287.00,3369.00,3559.00,3714.00,3807.00,3960.00,4286.00,4475.00,4601.00,4834.00,5041.00,5123.00,5364.00,
Fläche: Zonen S-6,,,,,,,,,,,,,,,,,305.78,
Fläche: Zonen S-7,,,,,,,,,,,,,,,,,305.78,
Fläche: Gesamt,,,,,,,,,,,,,,,,,1087.12,
Wanderungen Saldo: Schweizer,,,,,,,,,,,,-137.00,-32.00,-97.00,-68.00,-134.00,,
Umzüge Saldo: Schweizer,,,,,,,,,,,,-27.00,58.00,-14.00,-77.00,18.00,,
Wanderungen Saldo: Ausländer,,,,,,,,,,,,37.00,55.00,124.00,77.00,-23.00,,
Umzüge Saldo: Ausländer,,,,,,,,,,,,187.00,102.00,152.00,182.00,159.00,,
Alter: 0-4,,,,,,,,,,,,,,,,,885.00,
Alter: 5-9,,,,,,,,,,,,,,,,,1094.00,
Alter: 10-14,,,,,,,,,,,,,,,,,1094.00,
Alter: 15-19,,,,,,,,,,,,,,,,,1053.00,
Alter: 20-24,,,,,,,,,,,,,,,,,988.00,
Alter: 25-29,,,,,,,,,,,,,,,,,774.00,
Alter: 30-34,,,,,,,,,,,,,,,,,873.00,
Alter: 35-39,,,,,,,,,,,,,,,,,1131.00,
Alter: 40-44,,,,,,,,,,,,,,,,,1302.00,
Alter: 45-49,,,,,,,,,,,,,,,,,1607.00,
Alter: 50-54,,,,,,,,,,,,,,,,,1781.00,
Alter: 55-59,,,,,,,,,,,,,,,,,1605.00,
Alter: 60-64,,,,,,,,,,,,,,,,,1286.00,
Alter: 65-69,,,,,,,,,,,,,,,,,1150.00,
Alter: 70-74,,,,,,,,,,,,,,,,,1236.00,
Alter: 75-79,,,,,,,,,,,,,,,,,1100.00,
