Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bevölkerung: Schweizer,2173.00,2195.00,2170.00,2228.00,2214.00,2214.00,2221.00,2264.00,2249.00,2387.00,2380.00,2307.00,2392.00,2431.00,2433.00,2782.00,2900.00,
Bevölkerung: Ausländer,2117.00,2148.00,2332.00,2331.00,2378.00,2408.00,2490.00,2505.00,2632.00,2713.00,2799.00,2836.00,2877.00,2950.00,2904.00,3391.00,3652.00,
Fläche: Zonen S-6,,,,,,,,,,,,,,,,,35.57,
Fläche: Zonen S-7,,,,,,,,,,,,,,,,,35.57,
Fläche: Gesamt,,,,,,,,,,,,,,,,,64.35,
Wanderungen Saldo: Schweizer,,,,,,,,,,,,-19.00,1.00,29.00,-23.00,68.00,,
Umzüge Saldo: Schweizer,,,,,,,,,,,,-66.00,26.00,-21.00,-41.00,209.00,,
Wanderungen Saldo: Ausländer,,,,,,,,,,,,174.00,26.00,163.00,124.00,296.00,,
Umzüge Saldo: Ausländer,,,,,,,,,,,,-154.00,-85.00,-91.00,-136.00,213.00,,
Alter: 0-4,,,,,,,,,,,,,,,,,407.00,
Alter: 5-9,,,,,,,,,,,,,,,,,319.00,
Alter: 10-14,,,,,,,,,,,,,,,,,257.00,
Alter: 15-19,,,,,,,,,,,,,,,,,250.00,
Alter: 20-24,,,,,,,,,,,,,,,,,485.00,
Alter: 25-29,,,,,,,,,,,,,,,,,860.00,
Alter: 30-34,,,,,,,,,,,,,,,,,892.00,
Alter: 35-39,,,,,,,,,,,,,,,,,732.00,
Alter: 40-44,,,,,,,,,,,,,,,,,480.00,
Alter: 45-49,,,,,,,,,,,,,,,,,413.00,
Alter: 50-54,,,,,,,,,,,,,,,,,358.00,
Alter: 55-59,,,,,,,,,,,,,,,,,277.00,
Alter: 60-64,,,,,,,,,,,,,,,,,259.00,
Alter: 65-69,,,,,,,,,,,,,,,,,158.00,
Alter: 70-74,,,,,,,,,,,,,,,,,132.00,
Alter: 75-79,,,,,,,,,,,,,,,,,97.00,
Alter: 80-84,,,,,,,,,,,,,,,,,72.00,
Alter: 85-89,,,,,,,,,,,,,,,,,74.00,
Alter: 90-94,,,,,,,,,,,,,,,,,23.00,
Alter: 95-99,,,,,,,,,,,,,,,,,7.00,
Alter: 100-104,,,,,,,,,,,,,,,,,0.00,
Alter: 105-109,,,,,,,,,,,,,,,,,0.00,
Alter: 110-114,,,,,,,,,,,,,,,,,0.00,
Staatsangehörigkeit: Deutschland,117.00,120.00,159.00,159.00,191.00,215.00,259.00,299.00,316.00,365.00,398.00,424.00,415.00,403.00,415.00,530.00,585.00,
