,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bevölkerung: Schweizer,8181.00,8069.00,8139.00,7910.00,7939.00,7798.00,7645.00,7647.00,7677.00,7634.00,7631.00,7620.00,7535.00,7519.00,7530.00,7523.00,7449.00,
Bevölkerung: Ausländer,1798.00,1834.00,1917.00,1993.00,2137.00,2285.00,2530.00,2570.00,2793.00,2882.00,2980.00,3054.00,3142.00,3279.00,3360.00,3386.00,3447.00,
Fläche: Zonen S-6,,,,,,,,,,,,,,,,,117.98,
Fläche: Zonen S-7,,,,,,,,,,,,,,,,,146.77,
Fläche: Gesamt,,,,,,,,,,,,,,,,,298.29,
Wanderungen Saldo: Schweizer,,,,,,,,,,,,6.00,-14.00,8.00,-24.00,-11.00,,
Umzüge Saldo: Schweizer,,,,,,,,,,,,15.00,-38.00,-7.00,28.00,28.00,,
Wanderungen Saldo: Ausländer,,,,,,,,,,,,0.00,32.00,23.00,22.00,-16.00,,
Umzüge Saldo: Ausländer,,,,,,,,,,,,83.00,89.00,127.00,73.00,97.00,,
Alter: 0-4,,,,,,,,,,,,,,,,,469.00,
Alter: 5-9,,,,,,,,,,,,,,,,,488.00,
Alter: 10-14,,,,,,,,,,,,,,,,,408.00,
Alter: 15-19,,,,,,,,,,,,,,,,,364.00,
Alter: 20-24,,,,,,,,,,,,,,,,,493.00,
Alter: 25-29,,,,,,,,,,,,,,,,,647.00,
Alter: 30-34,,,,,,,,,,,,,,,,,791.00,
Alter: 35-39,,,,,,,,,,,,,,,,,826.00,
Alter: 40-44,,,,,,,,,,,,,,,,,737.00,
Alter: 45-49,,,,,,,,,,,,,,,,,759.00,
Alter: 50-54,,,,,,,,,,,,,,,,,737.00,
Alter: 55-59,,,,,,,,,,,,,,,,,649.00,
Alter: 60-64,,,,,,,,,,,,,,,,,540.00,
Alter: 65-69,,,,,,,,,,,,,,,,,532.00,
Alter: 70-74,,,,,,,,,,,,,,,,,555.00,
Alter: 75-79,,,,,,,,,,,,,,,,,551.00,
Alter: 80-84,,,,,,,,,,,,,,,,,522.00,
Alter: 85-89,,,,,,,,,,,,,,,,,475.00,
Alter: 90-94,,,,,,,,,,,,,,,,,283.00,
Alter: 95-99,,,,,,,,,,,,,,,,,65.00,
Alter: 100-104,,,,,,,,,,,,,,,,,5.00,
Alter: 105-109,,,,,,,,,,,,,,,,,0.00,
Alter: 110-114,,,,,,,,,,,,,,,,,0.00,
Staatsangehörigkeit: Deutschland,338.00,336.00,369.00,402.00,435.00,484.00,562.00,621.00,685.00,700.00,683.00,712.00,724.00,742.00,750.00,769.00,780.00,
Staatsangehörigkeit: Italien,249.00,236.00,251.00,275.00,280.00,265.00,296.00,279.00,279.00,280.00,291.00,288.00,295.00,305.00,325.00,318.00,351.00,
Staatsangehörigkeit: Türkei,170.00,168.00,155.00,160.00,159.00,176.00,178.00,157.00,162.00,153.00,161.00,166.00,175.00,184.00,187.00,194.00,200.00,
"Staatsangehörigkeit: Serbien, Montenegro, Kosovo",98.00,91.00,91.00,82.00,77.00,83.00,80.00,80.00,80.00,91.00,92.00,102.00,109.00,109.00,97.00,81.00,89.00,
Staatsangehörigkeit: Spanien,176.00,170.00,173.00,156.00,161.00,170.00,180.00,162.00,170.00,156.00,158.00,176.00,183.00,195.00,222.00,217.00,201.00,
Staatsangehörigkeit: Portugal,17.00,17.00,25.00,26.00,32.00,42.00,46.00,43.00,48.00,52.00,64.00,69.00,61.00,73.00,76.00,87.00,97.00,
Staatsangehörigkeit: Mazedonien,15.00,30.00,30.00,33.00,40.00,41.00,49.00,43.00,47.00,48.00,50.00,55.00,60.00,52.00,49.00,57.00,60.00,
Staatsangehörigkeit: Vereinigtes Königreich,78.00,98.00,123.00,118.00,129.00,142.00,156.00,163.00,195.00,208.00,204.00,212.00,223.00,244.00,231.00,224.00,227.00,
Staatsangehörigkeit: Frankreich,97.00,97.00,101.00,86.00,91.00,86.00,124.00,151.00,149.00,132.00,137.00,143.00,155.00,159.00,189.00,212.00,237.00,
Staatsangehörigkeit: Indien,21.00,22.00,24.00,27.00,23.00,42.00,47.00,37.00,37.00,38.00,54.00,48.00,55.00,76.00,99.00,85.00,90.00,
Staatsangehörigkeit: Vereinigte Staaten von Amerika,83.00,87.00,81.00,95.00,124.00,104.00,129.00,141.00,181.00,169.00,190.00,187.00,189.00,201.00,206.00,190.00,176.00,
Staatsangehörigkeit: Österreich,47.00,48.00,45.00,51.00,53.00,55.00,50.00,53.00,52.00,58.00,64.00,70.00,63.00,55.00,65.00,63.00,62.00,
Staatsangehörigkeit: Kroatien,29.00,30.00,26.00,24.00,21.00,30.00,29.00,25.00,20.00,21.00,21.00,21.00,22.00,21.00,24.00,18.00,17.00,
Staatsangehörigkeit: Sri Lanka,25.00,32.00,27.00,26.00,16.00,17.00,17.00,19.00,18.00,18.00,16.00,15.00,11.00,16.00,16.00,15.00,17.00,
Staatsangehörigkeit: Polen,8.00,10.00,14.00,12.00,13.00,10.00,15.00,16.00,24.00,26.00,24.00,23.00,13.00,15.00,8.00,8.00,10.00,
