,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bevölkerung: Schweizer,10721.00,10616.00,10560.00,10505.00,10460.00,10399.00,10264.00,10360.00,10425.00,10440.00,10563.00,10606.00,10610.00,10579.00,10657.00,10640.00,10617.00,
Bevölkerung: Ausländer,7315.00,7303.00,7491.00,7475.00,7476.00,7432.00,7503.00,7337.00,7419.00,7657.00,7754.00,7960.00,8028.00,8294.00,8301.00,8170.00,8141.00,
Fläche: Zonen S-6,,,,,,,,,,,,,,,,,66.87,
Fläche: Zonen S-7,,,,,,,,,,,,,,,,,127.39,
Fläche: Gesamt,,,,,,,,,,,,,,,,,225.30,
Wanderungen Saldo: Schweizer,,,,,,,,,,,,-4.00,21.00,-56.00,-124.00,-89.00,,
Umzüge Saldo: Schweizer,,,,,,,,,,,,12.00,-117.00,-35.00,87.00,-17.00,,
Wanderungen Saldo: Ausländer,,,,,,,,,,,,207.00,260.00,267.00,73.00,47.00,,
Umzüge Saldo: Ausländer,,,,,,,,,,,,24.00,-17.00,-13.00,-34.00,-116.00,,
Alter: 0-4,,,,,,,,,,,,,,,,,948.00,
Alter: 5-9,,,,,,,,,,,,,,,,,787.00,
Alter: 10-14,,,,,,,,,,,,,,,,,664.00,
Alter: 15-19,,,,,,,,,,,,,,,,,794.00,
Alter: 20-24,,,,,,,,,,,,,,,,,1188.00,
Alter: 25-29,,,,,,,,,,,,,,,,,1790.00,
Alter: 30-34,,,,,,,,,,,,,,,,,1913.00,
Alter: 35-39,,,,,,,,,,,,,,,,,1665.00,
Alter: 40-44,,,,,,,,,,,,,,,,,1379.00,
Alter: 45-49,,,,,,,,,,,,,,,,,1315.00,
Alter: 50-54,,,,,,,,,,,,,,,,,1363.00,
Alter: 55-59,,,,,,,,,,,,,,,,,1138.00,
Alter: 60-64,,,,,,,,,,,,,,,,,940.00,
Alter: 65-69,,,,,,,,,,,,,,,,,715.00,
Alter: 70-74,,,,,,,,,,,,,,,,,620.00,
Alter: 75-79,,,,,,,,,,,,,,,,,489.00,
Alter: 80-84,,,,,,,,,,,,,,,,,432.00,
Alter: 85-89,,,,,,,,,,,,,,,,,353.00,
Alter: 90-94,,,,,,,,,,,,,,,,,209.00,
Alter: 95-99,,,,,,,,,,,,,,,,,48.00,
Alter: 100-104,,,,,,,,,,,,,,,,,8.00,
Alter: 105-109,,,,,,,,,,,,,,,,,0.00,
Alter: 110-114,,,,,,,,,,,,,,,,,0.00,
Staatsangehörigkeit: Deutschland,499.00,516.00,601.00,666.00,728.00,883.00,959.00,1040.00,1159.00,1279.00,1331.00,1389.00,1387.00,1428.00,1473.00,1432.00,1445.00,
Staatsangehörigkeit: Italien,1325.00,1299.00,1223.00,1131.00,1077.00,1032.00,1016.00,953.00,923.00,916.00,900.00,889.00,869.00,899.00,908.00,905.00,923.00,
Staatsangehörigkeit: Türkei,1331.00,1282.00,1236.00,1183.00,1155.00,1163.00,1142.00,1086.00,1078.00,1043.00,1020.00,1024.00,1013.00,1013.00,1001.00,938.00,916.00,
"Staatsangehörigkeit: Serbien, Montenegro, Kosovo",919.00,891.00,870.00,819.00,823.00,775.00,790.00,766.00,734.00,740.00,705.00,673.00,646.00,610.00,578.00,527.00,545.00,
Staatsangehörigkeit: Spanien,844.00,831.00,820.00,775.00,712.00,661.00,610.00,550.00,516.00,507.00,508.00,522.00,534.00,574.00,560.00,566.00,554.00,
Staatsangehörigkeit: Portugal,291.00,300.00,373.00,388.00,410.00,465.00,471.00,517.00,559.00,549.00,584.00,616.00,696.00,722.00,698.00,689.00,717.00,
Staatsangehörigkeit: Mazedonien,350.00,338.00,353.00,369.00,368.00,370.00,351.00,336.00,311.00,316.00,324.00,324.00,315.00,309.00,303.00,300.00,267.00,
Staatsangehörigkeit: Vereinigtes Königreich,61.00,61.00,71.00,78.00,79.00,86.00,97.00,107.00,106.00,132.00,127.00,158.00,179.00,186.00,183.00,184.00,184.00,
Staatsangehörigkeit: Frankreich,92.00,103.00,111.00,120.00,118.00,114.00,130.00,114.00,127.00,129.00,124.00,134.00,141.00,152.00,166.00,179.00,170.00,
Staatsangehörigkeit: Indien,57.00,63.00,71.00,68.00,72.00,72.00,57.00,54.00,75.00,116.00,103.00,133.00,148.00,195.00,210.00,185.00,158.00,
Staatsangehörigkeit: Vereinigte Staaten von Amerika,36.00,39.00,52.00,49.00,50.00,44.00,42.00,50.00,53.00,74.00,84.00,89.00,98.00,97.00,98.00,109.00,108.00,
Staatsangehörigkeit: Österreich,71.00,71.00,92.00,112.00,129.00,139.00,140.00,126.00,127.00,123.00,106.00,112.00,117.00,128.00,125.00,122.00,125.00,
Staatsangehörigkeit: Kroatien,194.00,195.00,211.00,211.00,190.00,166.00,155.00,143.00,133.00,131.00,119.00,131.00,129.00,127.00,135.00,137.00,125.00,
Staatsangehörigkeit: Sri Lanka,268.00,279.00,304.00,308.00,290.00,271.00,268.00,219.00,177.00,175.00,161.00,160.00,149.00,146.00,136.00,144.00,147.00,
Staatsangehörigkeit: Polen,5.00,4.00,5.00,7.00,4.00,6.00,8.00,7.00,6.00,5.00,8.00,5.00,16.00,13.00,15.00,14.00,17.00,
Staatsangehörigkeit: Übriges Ausland,942.00,1006.00,1093.00,1160.00,1230.00,1145.00,1204.00,1218.00,1277.00,1350.00,1481.00,1516.00,1591.00,1695.00,1712.00,1739.00,1740.00,
Religion: Keine Zugehörigkeit,,,,,,,,,,,,,,8342.00,,,,
Religion: Protestantisch,,,,,,,,,,,,,,2478.00,,,,
Religion: Römisch-katolisch,,,,,,,,,,,,,,2639.00,,,,
Religion: Christ-katolisch,,,,,,,,,,,,,,124.00,,,,
Religion: Ostkirchliche Religionsgemeinde,,,,,,,,,,,,,,512.00,,,,
Religion: Jüdisch,,,,,,,,,,,,,,37.00,,,,
Religion: Muslimisch,,,,,,,,,,,,,,2703.00,,,,
Religion: Andere,,,,,,,,,,,,,,1113.00,,,,
Religion: Keine Angabe,,,,,,,,,,,,,,925.00,,,,
Vollzeitäquivalente,,,,,,,,,,,,18618.00,18708.00,18905.00,18939.00,,,
Sozialhilfequote,,6.74,6.85,8.08,9.14,9.98,9.89,9.52,8.87,8.72,8.70,9.03,8.93,8.89,8.88,8.52,8.75,
Geld: Veranlagungen,,,,,,,,,,,,,,,10892.00,,,
Geld: Reineinkommen Mittelwert,,,,,,,,,,,,,,,51897.00,,,
Geld: Reineinkommen Median,,,,,,,,,,,,,,,41743.00,,,
Geld: Reineinkommen Gini,,,,,,,,,,,,,,,0.47,,,
Geld: Einkommensteuer Mittelwert,,,,,,,,,,,,,,,6495.00,,,
Geld: Einkommensteuer Median,,,,,,,,,,,,,,,3605.00,,,
Geld: Einkommensteuer Summe,,,,,,,,,,,,,,,70741009.00,,,
Geld: Steuerbelastung des Reineinkommens,,,,,,,,,,,,,,,12.51,,,
Geld: Reinvermögen Mittelwert,,,,,,,,,,,,,,,135759.00,,,
Geld: Reinvermögen Median,,,,,,,,,,,,,,,6348.00,,,
Geld: Reinvermögen Gini,,,,,,,,,,,,,,,0.88,,,
Geld: Vermögenssteuer Mittelwert,,,,,,,,,,,,,,,550.00,,,
Geld: Vermögenssteuer Median,,,,,,,,,,,,,,,0.00,,,
Geld: Vermögenssteuer Summe,,,,,,,,,,,,,,,5994020.00,,,
Geld: Steuerbelastung des Reinvermögens,,,,,,,,,,,,,,,0.41,,,
,,,,,,,,,,,,,,,,,,
