Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bevölkerung: Schweizer,3774.00,3689.00,3615.00,3505.00,3423.00,3379.00,3299.00,3281.00,3291.00,3252.00,3244.00,3122.00,3104.00,3129.00,3148.00,3115.00,3102.00,
Bevölkerung: Ausländer,966.00,1009.00,1032.00,1052.00,1112.00,1193.00,1299.00,1328.00,1413.00,1524.00,1502.00,1546.00,1558.00,1685.00,1720.00,1817.00,1920.00,
Fläche: Zonen S-6,,,,,,,,,,,,,,,,,43.32,
Fläche: Zonen S-7,,,,,,,,,,,,,,,,,43.32,
Fläche: Gesamt,,,,,,,,,,,,,,,,,89.50,
Wanderungen Saldo: Schweizer,,,,,,,,,,,,-10.00,43.00,49.00,23.00,22.00,,
Umzüge Saldo: Schweizer,,,,,,,,,,,,-70.00,-21.00,0.00,15.00,-29.00,,
Wanderungen Saldo: Ausländer,,,,,,,,,,,,97.00,58.00,155.00,113.00,152.00,,
Umzüge Saldo: Ausländer,,,,,,,,,,,,-60.00,-8.00,-56.00,-48.00,-62.00,,
Alter: 0-4,,,,,,,,,,,,,,,,,180.00,
Alter: 5-9,,,,,,,,,,,,,,,,,118.00,
Alter: 10-14,,,,,,,,,,,,,,,,,102.00,
Alter: 15-19,,,,,,,,,,,,,,,,,146.00,
Alter: 20-24,,,,,,,,,,,,,,,,,258.00,
Alter: 25-29,,,,,,,,,,,,,,,,,494.00,
Alter: 30-34,,,,,,,,,,,,,,,,,448.00,
Alter: 35-39,,,,,,,,,,,,,,,,,402.00,
Alter: 40-44,,,,,,,,,,,,,,,,,352.00,
Alter: 45-49,,,,,,,,,,,,,,,,,367.00,
Alter: 50-54,,,,,,,,,,,,,,,,,384.00,
Alter: 55-59,,,,,,,,,,,,,,,,,289.00,
Alter: 60-64,,,,,,,,,,,,,,,,,278.00,
Alter: 65-69,,,,,,,,,,,,,,,,,250.00,
Alter: 70-74,,,,,,,,,,,,,,,,,272.00,
Alter: 75-79,,,,,,,,,,,,,,,,,248.00,
Alter: 80-84,,,,,,,,,,,,,,,,,170.00,
Alter: 85-89,,,,,,,,,,,,,,,,,150.00,
Alter: 90-94,,,,,,,,,,,,,,,,,86.00,
Alter: 95-99,,,,,,,,,,,,,,,,,21.00,
Alter: 100-104,,,,,,,,,,,,,,,,,7.00,
Alter: 105-109,,,,,,,,,,,,,,,,,0.00,
Alter: 110-114,,,,,,,,,,,,,,,,,0.00,
Staatsangehörigkeit: Deutschland,189.00,201.00,216.00,231.00,259.00,300.00,366.00,378.00,425.00,453.00,432.00,432.00,420.00,421.00,412.00,454.00,451.00,
Staatsangehörigkeit: Italien,152.00,140.00,134.00,129.00,142.00,153.00,142.00,155.00,166.00,171.00,153.00,169.00,189.00,202.00,211.00,209.00,219.00,
Staatsangehörigkeit: Türkei,69.00,66.00,77.00,69.00,71.00,75.00,71.00,66.00,66.00,67.00,61.00,49.00,47.00,45.00,43.00,43.00,48.00,
"Staatsangehörigkeit: Serbien, Montenegro, Kosovo",42.00,52.00,33.00,30.00,24.00,20.00,27.00,27.00,27.00,21.00,27.00,27.00,18.00,22.00,25.00,28.00,34.00,
