,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bevölkerung: Schweizer,4222.00,4131.00,4141.00,4206.00,4209.00,4205.00,4096.00,4070.00,4039.00,4022.00,3979.00,3940.00,3887.00,3862.00,3940.00,3874.00,3852.00,
Bevölkerung: Ausländer,1039.00,1069.00,1149.00,1192.00,1245.00,1284.00,1327.00,1317.00,1372.00,1471.00,1423.00,1435.00,1479.00,1500.00,1651.00,1733.00,1796.00,
Fläche: Zonen S-6,,,,,,,,,,,,,,,,,39.91,
Fläche: Zonen S-7,,,,,,,,,,,,,,,,,39.91,
Fläche: Gesamt,,,,,,,,,,,,,,,,,75.47,
Wanderungen Saldo: Schweizer,,,,,,,,,,,,-27.00,-21.00,-24.00,1.00,-11.00,,
Umzüge Saldo: Schweizer,,,,,,,,,,,,-3.00,-34.00,-14.00,34.00,-53.00,,
Wanderungen Saldo: Ausländer,,,,,,,,,,,,64.00,65.00,72.00,116.00,113.00,,
Umzüge Saldo: Ausländer,,,,,,,,,,,,-46.00,4.00,-55.00,67.00,-37.00,,
Alter: 0-4,,,,,,,,,,,,,,,,,229.00,
Alter: 5-9,,,,,,,,,,,,,,,,,171.00,
Alter: 10-14,,,,,,,,,,,,,,,,,150.00,
Alter: 15-19,,,,,,,,,,,,,,,,,275.00,
Alter: 20-24,,,,,,,,,,,,,,,,,302.00,
Alter: 25-29,,,,,,,,,,,,,,,,,478.00,
Alter: 30-34,,,,,,,,,,,,,,,,,583.00,
Alter: 35-39,,,,,,,,,,,,,,,,,451.00,
Alter: 40-44,,,,,,,,,,,,,,,,,374.00,
Alter: 45-49,,,,,,,,,,,,,,,,,386.00,
Alter: 50-54,,,,,,,,,,,,,,,,,450.00,
Alter: 55-59,,,,,,,,,,,,,,,,,387.00,
Alter: 60-64,,,,,,,,,,,,,,,,,340.00,
Alter: 65-69,,,,,,,,,,,,,,,,,307.00,
Alter: 70-74,,,,,,,,,,,,,,,,,245.00,
Alter: 75-79,,,,,,,,,,,,,,,,,180.00,
Alter: 80-84,,,,,,,,,,,,,,,,,167.00,
Alter: 85-89,,,,,,,,,,,,,,,,,116.00,
Alter: 90-94,,,,,,,,,,,,,,,,,44.00,
Alter: 95-99,,,,,,,,,,,,,,,,,13.00,
Alter: 100-104,,,,,,,,,,,,,,,,,0.00,
Alter: 105-109,,,,,,,,,,,,,,,,,0.00,
Alter: 110-114,,,,,,,,,,,,,,,,,0.00,
Staatsangehörigkeit: Deutschland,199.00,201.00,225.00,244.00,282.00,305.00,350.00,399.00,449.00,482.00,456.00,465.00,474.00,502.00,516.00,539.00,556.00,
Staatsangehörigkeit: Italien,231.00,220.00,240.00,241.00,242.00,230.00,205.00,197.00,206.00,207.00,208.00,194.00,196.00,194.00,191.00,199.00,212.00,
Staatsangehörigkeit: Türkei,119.00,133.00,121.00,136.00,136.00,143.00,136.00,115.00,102.00,126.00,113.00,98.00,107.00,95.00,83.00,85.00,87.00,
"Staatsangehörigkeit: Serbien, Montenegro, Kosovo",70.00,70.00,65.00,43.00,47.00,47.00,43.00,23.00,29.00,26.00,25.00,33.00,33.00,36.00,40.00,38.00,42.00,
Staatsangehörigkeit: Spanien,89.00,86.00,107.00,100.00,95.00,92.00,84.00,81.00,80.00,81.00,83.00,69.00,73.00,77.00,102.00,106.00,103.00,
Staatsangehörigkeit: Portugal,17.00,20.00,20.00,19.00,16.00,18.00,27.00,22.00,19.00,23.00,25.00,26.00,33.00,36.00,36.00,41.00,45.00,
